Super_Bowl,Network(s),Total_Viewers,HHLD_Rating,Date
LVIII,"CBS, Univision,Nickelodeon, Nick-at-Nite","123,714,000",43.5,"Feb. 11, 2024"
LVII,FOXFOX Deportes,"115,096,000",40.7,"Feb. 12, 2023"
LVI,NBCTelemundo,"101,470,000",37.9,"Feb. 13, 2022"
LV,CBSESPN Deportes,"95,877,000",38.4,"Feb. 7, 2021"
LIV,FOXFOX Deportes,"102,086,000",42.0,"Feb. 2, 2020"
LIII,CBSESPN Deportes,"98,950,000",41.4,"Feb. 3, 2019"
LII,NBCUniverso,"104,016,000",43.1,"Feb. 4, 2018"
LI,FOXFOX Deportes,"111,973,000",45.3,"Feb. 5, 2017"
SB 50,CBSESPN Deportes,"112,336,000",46.6,"Feb. 7, 2016"
XLIX,NBCUniverso,"114,810,000",47.5,"Feb. 1, 2015"
XLVIII,FOXFOX Deportes,"112,752,000",46.7,"Feb. 2, 2014"
XLVII,CBS,"108,693,000",46.4,"Feb. 3, 2013"
XLVI,NBC,"111,346,000",47.1,"Feb. 5, 2012"
XLV,FOX,"111,041,000",46.0,"Feb. 6, 2011"
XLIV,CBS,"106,476,000",45.0,"Feb. 7, 2010"
XLIII,NBC,"98,732,000",42.0,"Feb. 1, 2009"
XLII,FOX,"97,448,000",43.1,"Feb. 3, 2008"
XLI,CBS,"93,184,000",42.6,"Feb. 4, 2007"
XL,ABC,"90,745,000",41.6,"Feb. 5, 2006"
XXXIX,FOX,"86,072,000",41.1,"Feb. 6, 2005"
XXXVIII,CBS,"89,795,000",41.4,"Feb. 1, 2004"
XXXVII,ABC,"88,637,000",40.7,"Jan. 26, 2003"
XXXVI,FOX,"86,801,000",40.4,"Feb. 3, 2002"
XXXV,CBS,"84,335,000",40.4,"Jan. 28, 2001"
XXXIV,ABC,"88,465,000",43.3,"Jan. 30, 2000"
XXXIII,FOX,"83,720,000",40.2,"Jan. 31, 1999"
XXXII,NBC,"90,000,000",44.5,"Jan. 25, 1998"
XXXI,FOX,"87,870,000",43.3,"Jan. 26, 1997"
XXX,NBC,"94,080,000",46.0,"Jan. 28, 1996"
XXIX,ABC,"83,420,000",41.3,"Jan. 29, 1995"
XXVIII,NBC,"90,000,000",45.5,"Jan. 30, 1994"
XXVII,NBC,"90,990,000",45.1,"Jan. 31, 1993"
XXVI,CBS,"79,590,000",40.3,"Jan. 26, 1992"
XXV,ABC,"79,510,000",41.9,"Jan. 27, 1991"
XXIV,CBS,"73,852,000",39.0,"Jan. 28, 1990"
XXIII,NBC,"81,590,000",43.5,"Jan. 22, 1989"
XXII,ABC,"80,140,000",41.9,"Jan. 31, 1988"
XXI,CBS,"87,190,000",45.8,"Jan. 25, 1987"
XX,NBC,"92,570,000",48.3,"Jan. 26, 1986"
XIX,ABC,"85,530,000",46.4,"Jan. 20, 1985"
XVIII,CBS,"77,620,000",46.4,"Jan. 22, 1984"
XVII,NBC,"81,770,000",48.6,"Jan. 30, 1983"
XVI,CBS,"85,240,000",49.1,"Jan. 24, 1982"
XV,NBC,"68,290,000",44.4,"Jan. 25, 1981"
XIV,CBS,"76,240,000",46.3,"Jan. 20, 1980"
XIII,NBC,"74,740,000",47.1,"Jan. 21, 1979"
XII,CBS,"78,940,000",47.2,"Jan. 15, 1978"
XI,NBC,"62,050,000",44.4,"Jan. 9, 1977"
X,CBS,"57,710,000",42.3,"Jan. 18, 1976"
IX,NBC,"56,050,000",42.4,"Jan. 12, 1975"
VIII,CBS,"51,700,000",41.6,"Jan. 13, 1974"
VII,NBC,"53,320,000",42.7,"Jan. 14, 1973"
VI,CBS,"56,640,000",44.2,"Jan. 16, 1972"
V,NBC,"46,040,000",39.9,"Jan. 17, 1971"
IV,CBS,"44,270,000",39.4,"Jan. 11, 1970"
III,NBC,"41,660,000",36.0,"Jan. 12, 1969"
II,CBS,"39,120,000",36.8,"Jan. 14, 1968"
I,CBS,"26,750,000",22.6,"Jan. 15, 1967"
I,NBC,"24,430,000",18.5,"Jan. 15, 1967"
