stadium_id,home_stadium,city_state,latitude,longitude,capacity
0,Highmark Stadium,Ochard Park_ New York,42.773773,-78.78746,71608
1,Hard Rock Stadium,Miami Gardens_ Florida,25.95796,-80.239311,65326
2,Gillete Stadium,Foxborough_ Massachusetts,42.08783298,-71.25866563,66829
3,MetLife Stadium,East Rutherford_ New Jersey,40.813778,-74.217121,82500
4,Empower Field at Mile High,Denver_ Colorado,39.744129,-105.020828,76125
5,Arrowhead Stadium,Kansas City_ Missouri,39.048786,-94.484566,76416
6,Allegiant Stadium,Paradise_ Nevada,36.090794,-115.183952,65500
7,SoFi Stadium,Inglewood_ California,33.953587,-118.482441,27000
8,M&T Bank Stadium,Baltimore_ Maryland,39.278088,-76.623322,71008
9,Paycor Stadium,Cincinnati_ Ohio,39.096306,-84.516846,65515
10,Cleveland Browns Stadium,Cleveland_ Ohio,41.506035,-81.700058,67895
11,Acrisure Stadium,Pittsburgh_ Pennsylvania,40.44133157,-80.00949996,68400
12,NRG Stadium,Houston_ Texas,29.68486,-95.411667,72220
13,Lucas Oil Stadium,Indianapolis_ Indiana,39.759991,-86.163712,67000
14,EverBank Stadium,Jacksonville_ Florida,30.323471,-81.636528,69132
15,Nissan Stadium,Nashville_ Tennessee,36.166479,-86.77129,69143
16,AT&T Stadium,Arlington_ Texas,32.747841,-97.093628,80000
18,Lincoln Financial Field,Philadelphia_ Pennsylvania,39.900898,-75.168098,69596
19,FedExField,Landover_ Maryland,38.90466305,-76.85866323,63000
20,State Farm Stadium,Glendale_ Arizona,33.527283,-112.263275,63400
22,Levi's Stadium,Santa Clara_ California,37.40201489,-121.9688691,68500
23,Lumen Field,Seattle_ Washington,47.59049764,-122.3256654,69000
24,Soldier Field,Chicago_ Illinois,41.862366,-87.617256,61500
25,Ford Field,Detroit_ Michigan,42.340115,-83.046341,65000
26,Lambeau Field,Green Bay_ Wisconsin,44.50083133,-88.0573331,81441
27,U.S. Bank Stadium,Minneapolis_ Minnesota,44.973774,-93.258736,66655
28,Mercedes-Benz Stadium,Atlanta_ Georgia,33.755489,-84.401993,71000
29,Bank of America Stadium,Charlotte_ North Carolina,35.225845,-80.853607,75523
30,Caesars Superdome,New Orleans_ Louisiana,29.951439,-90.08197,73208
31,Raymond James Stadium,Tampa_ Florida,27.975958,-82.503693,65890
