team_id,total_attendance,home_attendance,away_attendance
1,1113568,502912,610656
2,1176416,556828,619588
3,1170734,635380,535354
4,1183200,626483,556717
5,1163926,573086,590840
6,1111491,494157,617334
7,1144696,594361,550335
8,1168498,610295,558203
9,1378746,748755,629991
10,1226925,687498,539427
11,1170249,518741,651508
12,1242403,622636,619767
13,1184936,640742,544194
14,1113729,587393,526336
15,1150901,621599,529302
16,1205847,638715,567132
17,1111041,559713,551328
18,1190939,627632,563307
19,1235049,585204,649845
20,1136583,593304,543279
21,1157107,535308,621799
22,1165144,567168,597976
23,1188849,560164,628685
24,1262352,634459,627893
25,1285954,701011,584943
26,1223746,559032,664714
27,1146477,602796,543681
28,1186315,573245,613070
29,1193230,549886,643344
30,1140061,510321,629740
31,1117370,580686,536684
32,1175750,511606,664144
