Unique_ID,City,State,Population Est 2023
NYNY,New York, New York,8258035
LAC,Los Angeles, California,3820914
CI,Chicago, Illinois,2664452
HT,Houston, Texas,2314157
JF,Jacksonville, Florida,985843
CNC,Charlotte, North Carolina,911311
SFC,San Francisco, California,808988
SW,Seattle, Washington,755078
DC,Denver, Colorado,716577
WDOC,Washington, District of Columbia,678972
LVN,Las Vegas, Nevada,660929
BM,Boston, Massachusetts,653833
BM1,Baltimore, Maryland,565239
AG,Atlanta, Georgia,510823
KCM,Kansas City, Missouri,510704
MF,Miami, Florida,455924
MM,Minneapolis, Minnesota,425115
TF,Tampa, Florida,403364
AT,Arlington, Texas,398431
NOL,New Orleans, Louisiana,364136
CO,Cleveland, Ohio,362656
CO1,Cincinnati, Ohio,311097
PP,Pittsburgh, Pennsylvania,303255
BNY,Buffalo, New York,274678
KCK,Kansas City, Kansas,152933
SCC,Santa Clara, California,131062
MGF,Miami Gardens, Florida,110717
GBW,Green Bay, Wisconsin,105744
IC,Inglewood, California,102865
